,ZZ_Series,Single_episodes,part_name,resolution,link
48,power_bangers,power_bangers_power_bangers_a_xxx_parody_part_5_720p.mp4,part_5,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/power_bangers/zz_series_power_bangers_power_bangers_a_xxx_parody_part_5_720p.mp4
49,pussy_o_plomo,pussy_o_plomo_part_1_1080p.mp4,part_1,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/pussy_o_plomo/zz_series_pussy_o_plomo_part_1_1080p.mp4
50,pussy_o_plomo,pussy_o_plomo_part_2_1080p.mp4,part_2,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/pussy_o_plomo/zz_series_pussy_o_plomo_part_2_1080p.mp4
51,pussy_o_plomo,pussy_o_plomo_part_3_1080p.mp4,part_3,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/pussy_o_plomo/zz_series_pussy_o_plomo_part_3_1080p.mp4
52,pussy_o_plomo,pussy_o_plomo_part_4_1080p.mp4,part_4,1080p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/pussy_o_plomo/zz_series_pussy_o_plomo_part_4_1080p.mp4
53,queen_of_thrones,queen_of_thrones_part_4_720p.mp4,,,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/queen_of_thrones/._zz_series_queen_of_thrones_part_4_720p.mp4
54,queen_of_thrones,queen_of_thrones_part_1_720p.mp4,part_1,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/queen_of_thrones/zz_series_queen_of_thrones_part_1_720p.mp4
55,queen_of_thrones,queen_of_thrones_part_2_720p.mp4,part_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/queen_of_thrones/zz_series_queen_of_thrones_part_2_720p.mp4
56,queen_of_thrones,queen_of_thrones_part_3_720p.mp4,part_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/queen_of_thrones/zz_series_queen_of_thrones_part_3_720p.mp4
57,queen_of_thrones,queen_of_thrones_part_4_720p.mp4,part_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/queen_of_thrones/zz_series_queen_of_thrones_part_4_720p.mp4
58,rich_fucks,rich_fucks_part_1_720p.mp4,part_1,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/rich_fucks/zz_series_rich_fucks_part_1_720p.mp4
59,rich_fucks,rich_fucks_part_2_720p.mp4,part_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/rich_fucks/zz_series_rich_fucks_part_2_720p.mp4
60,rich_fucks,rich_fucks_part_3_720p.mp4,part_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/rich_fucks/zz_series_rich_fucks_part_3_720p.mp4
61,rich_fucks,rich_fucks_part_4_720p.mp4,part_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/rich_fucks/zz_series_rich_fucks_part_4_720p.mp4
62,storm_of_kings,storm_of_kings_xxx_parody_part_1_720p.mp4,part_1,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/storm_of_kings/zz_series_storm_of_kings_xxx_parody_part_1_720p.mp4
63,storm_of_kings,storm_of_kings_xxx_parody_part_2_720p.mp4,part_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/storm_of_kings/zz_series_storm_of_kings_xxx_parody_part_2_720p.mp4
64,storm_of_kings,storm_of_kings_xxx_parody_part_3_720p.mp4,part_3,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/storm_of_kings/zz_series_storm_of_kings_xxx_parody_part_3_720p.mp4
65,storm_of_kings,storm_of_kings_xxx_parody_part_4_720p.mp4,part_4,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/storm_of_kings/zz_series_storm_of_kings_xxx_parody_part_4_720p.mp4
66,the_exxxceptions,the_exxxceptions_episode_1_720p.mp4,episode_1,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/the_exxxceptions/zz_series_the_exxxceptions_episode_1_720p.mp4
67,the_exxxceptions,the_exxxceptions_episode_2_720p.mp4,episode_2,720p,/Volumes/WERDERNASX/VIDEOSX/BRAZZERS/zz_series/the_exxxceptions/zz_series_the_exxxceptions_episode_2_720p.mp4
